PlotID,DOY,week,frassRate,Overwintering,L2,L3,L4,L5,L6,L7,Pupae,Adults,fitted_Frass
JP,152,1,1.646798693,0,1.66221,17.60822,68.24011,12.48351,0.00595,0,0,0,0.052432276
JP,153,1,1.646798693,0,1.20325,13.36262,66.34715,19.05554,0.03143,0,0,0,0.094721737
JP,154,1,1.646798693,0,0.84804,10.26984,62.34846,26.37868,0.15497,1.00E-05,0,0,0.166296793
JP,155,1,1.646798693,0,0.49747,8.67313,54.3608,35.65311,0.81542,7.00E-05,0,0,0.28372746
JP,156,1,1.646798693,0,0.33457,5.26738,44.90834,46.83795,2.65134,0.00042,0,0,0.470437727
JP,157,1,1.646798693,0,0.17811,3.19064,32.4689,57.87258,6.2864,0.00336,0,0,0.758029647
JP,158,1,1.646798693,0,0.07505,1.47481,22.33937,63.69093,12.39357,0.02627,0,0,1.187007644
JP,159,2,4.656429826,0,0.06506,1.25294,16.59247,64.13518,17.85961,0.09473,0,0,1.8063592
JP,160,2,4.656429826,0,0.0373,1.06271,16.00419,61.50143,21.23629,0.15808,0,0,2.671394273
JP,161,2,4.656429826,0,0.03624,0.9941,12.80435,62.84775,23.05968,0.2579,0,0,3.83932734
JP,162,2,4.656429826,0,0.03532,0.78195,12.28934,58.45593,28.01573,0.42172,0,0,5.362355077
JP,163,2,4.656429826,0,0,0.58993,9.74276,56.50464,32.28379,0.87888,0,0,7.278456158
JP,164,2,4.656429826,0,0,0.4986,7.16287,49.72113,40.55851,2.05889,0,0,9.600774036
JP,165,2,4.656429826,0,0,0.31532,5.48448,41.08509,49.06556,4.04955,0,0,12.30712189
JP,166,3,25.43469381,0,0,0.18135,3.19378,31.24104,58.12598,7.25785,0,0,15.33169005
JP,167,3,25.43469381,0,0,0.07352,1.66867,20.54819,64.68367,13.02592,2.00E-05,0,18.56123357
JP,168,3,25.43469381,0,0,0.01693,0.85111,12.10884,66.9457,20.07721,0.00021,0,21.83770104
JP,169,3,25.43469381,0,0,0.00951,0.62594,9.02097,58.49311,31.84638,0.0041,0,24.96837465
JP,170,3,25.43469381,0,0,0,0.41968,7.03146,52.97559,39.53834,0.03493,0,27.74322244
JP,171,3,25.43469381,0,0,0,0.32934,5.25599,50.31864,44.00585,0.09018,0,29.95758577
JP,172,4,28.94921543,0,0,0,0.1994,3.6672,40.11336,55.80439,0.21565,0,31.43692033
JP,173,4,28.94921543,0,0,0,0.15627,3.07674,31.95181,64.35099,0.4642,0,32.05947847
JP,174,4,28.94921543,0,0,0,0.0794,1.80806,28.89694,68.12041,1.09519,0,31.7728511
JP,175,4,28.94921543,0,0,0,0.02957,0.99957,21.12168,75.83753,2.01165,0,30.60125215
JP,176,4,28.94921543,0,0,0,0.00674,0.58202,14.11827,82.08669,3.20628,0,28.64214131
JP,177,4,28.94921543,0,0,0,0.00306,0.40705,8.71718,85.40889,5.46381,0,26.05283832
JP,178,4,28.94921543,0,0,0,0,0.29218,6.69747,85.44878,7.56157,0,23.02967882
JP,179,4,28.94921543,0,0,0,0,0.21247,5.06417,82.92687,11.7965,0,19.78353947
JP,180,4,28.94921543,0,0,0,0,0.11855,3.60374,77.42103,18.85666,1.00E-05,16.51594325
JP,181,5,2.297656619,0,0,0,0,0.06641,2.29,70.66674,26.9762,0.00066,13.39942141
JP,182,5,2.297656619,0,0,0,0,0.01251,1.14353,62.50226,36.327,0.0147,10.5645739
JP,183,5,2.297656619,0,0,0,0,0.00256,0.6382,52.02933,47.26619,0.06372,8.094708249
JP,184,5,2.297656619,0,0,0,0,0,0.38437,42.78706,56.65395,0.17462,6.027451038
JP,185,5,2.297656619,0,0,0,0,0,0.27213,35.61263,63.75231,0.36294,4.361636391
JP,186,5,2.297656619,0,0,0,0,0,0.1887,29.19564,69.78503,0.83062,3.06724523
JP,187,5,2.297656619,0,0,0,0,0,0.12417,21.56742,76.62954,1.67888,2.096190833
JP,188,5,2.297656619,0,0,0,0,0,0.06211,14.72742,81.21448,3.99599,1.392183271
JP,189,5,2.297656619,0,0,0,0,0,0.03101,10.4956,82.8588,6.6146,0.898556272
